model,scope,accuracy,balanced_accuracy,fall_precision,fall_recall,fall_f1,non_fall_specificity
full200,all_20,0.8,0.8,0.8,0.8,0.8000000000000002,0.8
location1,all_20,0.75,0.75,0.7272727272727273,0.8,0.761904761904762,0.7
location2,all_20,0.6,0.6,0.5833333333333334,0.7,0.6363636363636365,0.5
raw_tsstg,all_20,0.7,0.7,1.0,0.4,0.5714285714285715,1.0
full200,location_1,0.8,0.8,0.8,0.8,0.8000000000000002,0.8
location1,location_1,0.8,0.8,0.8,0.8,0.8000000000000002,0.8
location2,location_1,0.6,0.6,0.6,0.6,0.6,0.6
raw_tsstg,location_1,0.7,0.7,1.0,0.4,0.5714285714285715,1.0
full200,location_2,0.8,0.8,0.8,0.8,0.8000000000000002,0.8
location1,location_2,0.7,0.7,0.6666666666666666,0.8,0.7272727272727272,0.6
location2,location_2,0.6,0.6000000000000001,0.5714285714285714,0.8,0.6666666666666666,0.4
raw_tsstg,location_2,0.7,0.7,1.0,0.4,0.5714285714285715,1.0
